timestamp,pelvis_acc_ap,pelvis_acc_ml,pelvis_acc_vertical,pelvis_gyro_yaw,quat_w,quat_x,quat_y,quat_z
0.000,0.006986,0.006986,9.816986,0.006986,1.0,0.0,0.0,0.0
0.010,-0.004212,-0.004212,9.805788,-0.004212,1.0,0.0,0.0,0.0
0.020,-0.016172,-0.016172,9.793828,-0.016172,1.0,0.0,0.0,0.0
0.030,-0.005945,-0.005945,9.804055,-0.005945,1.0,0.0,0.0,0.0
0.040,0.014192,0.014192,9.824192,0.014192,1.0,0.0,0.0,0.0
0.050,-0.003741,-0.003741,9.806259,-0.003741,1.0,0.0,0.0,0.0
0.060,-0.018585,-0.018585,9.791415,-0.018585,1.0,0.0,0.0,0.0
0.070,0.006494,0.006494,9.816494,0.006494,1.0,0.0,0.0,0.0
0.080,-0.024398,-0.024398,9.785602,-0.024398,1.0,0.0,0.0,0.0
0.090,0.022314,0.022314,9.832314,0.022314,1.0,0.0,0.0,0.0
0.100,0.017389,0.017389,9.827389,0.017389,1.0,0.0,0.0,0.0
0.110,-0.016629,-0.016629,9.793371,-0.016629,1.0,0.0,0.0,0.0
0.120,0.042620,0.042620,9.852620,0.042620,1.0,0.0,0.0,0.0
0.130,0.015650,0.015650,9.825650,0.015650,1.0,0.0,0.0,0.0
0.140,-0.019294,-0.019294,9.790706,-0.019294,1.0,0.0,0.0,0.0
0.150,-0.006122,-0.006122,9.803878,-0.006122,1.0,0.0,0.0,0.0
0.160,-0.017436,-0.017436,9.792564,-0.017436,1.0,0.0,0.0,0.0
0.170,-0.004725,-0.004725,9.805275,-0.004725,1.0,0.0,0.0,0.0
0.180,0.010864,0.010864,9.820864,0.010864,1.0,0.0,0.0,0.0
0.190,-0.005053,-0.005053,9.804947,-0.005053,1.0,0.0,0.0,0.0
0.200,0.037563,0.037563,9.847563,0.037563,1.0,0.0,0.0,0.0
0.210,0.046835,0.046835,9.856835,0.046835,1.0,0.0,0.0,0.0
0.220,-0.000848,-0.000848,9.809152,-0.000848,1.0,0.0,0.0,0.0
0.230,0.012078,0.012078,9.822078,0.012078,1.0,0.0,0.0,0.0
0.240,-0.029607,-0.029607,9.780393,-0.029607,1.0,0.0,0.0,0.0
0.250,0.012207,0.012207,9.822207,0.012207,1.0,0.0,0.0,0.0
0.260,-0.001702,-0.001702,9.808298,-0.001702,1.0,0.0,0.0,0.0
0.270,0.001681,0.001681,9.811681,0.001681,1.0,0.0,0.0,0.0
0.280,-0.001073,-0.001073,9.808927,-0.001073,1.0,0.0,0.0,0.0
0.290,0.010772,0.010772,9.820772,0.010772,1.0,0.0,0.0,0.0
0.300,0.031411,0.031411,9.841411,0.031411,1.0,0.0,0.0,0.0
0.310,0.004083,0.004083,9.814083,0.004083,1.0,0.0,0.0,0.0
0.320,-0.000835,-0.000835,9.809165,-0.000835,1.0,0.0,0.0,0.0
0.330,-0.008081,-0.008081,9.801919,-0.008081,1.0,0.0,0.0,0.0
0.340,0.001918,0.001918,9.811918,0.001918,1.0,0.0,0.0,0.0
0.350,0.042087,0.042087,9.852087,0.042087,1.0,0.0,0.0,0.0
0.360,-0.005001,-0.005001,9.804999,-0.005001,1.0,0.0,0.0,0.0
0.370,-0.015539,-0.015539,9.794461,-0.015539,1.0,0.0,0.0,0.0
0.380,-0.037605,-0.037605,9.772395,-0.037605,1.0,0.0,0.0,0.0
0.390,-0.020406,-0.020406,9.789594,-0.020406,1.0,0.0,0.0,0.0
0.400,0.001451,0.001451,9.811451,0.001451,1.0,0.0,0.0,0.0
0.410,0.021152,0.021152,9.831152,0.021152,1.0,0.0,0.0,0.0
0.420,0.017193,0.017193,9.827193,0.017193,1.0,0.0,0.0,0.0
0.430,0.001738,0.001738,9.811738,0.001738,1.0,0.0,0.0,0.0
0.440,0.001267,0.001267,9.811267,0.001267,1.0,0.0,0.0,0.0
0.450,0.013616,0.013616,9.823616,0.013616,1.0,0.0,0.0,0.0
0.460,-0.012406,-0.012406,9.797594,-0.012406,1.0,0.0,0.0,0.0
0.470,0.009836,0.009836,9.819836,0.009836,1.0,0.0,0.0,0.0
0.480,0.011250,0.011250,9.821250,0.011250,1.0,0.0,0.0,0.0
0.490,-0.008801,-0.008801,9.801199,-0.008801,1.0,0.0,0.0,0.0
0.500,0.028382,0.028382,9.838382,0.028382,1.0,0.0,0.0,0.0
0.510,0.003399,0.003399,9.813399,0.003399,1.0,0.0,0.0,0.0
0.520,0.025536,0.025536,9.835536,0.025536,1.0,0.0,0.0,0.0
0.530,-0.013435,-0.013435,9.796565,-0.013435,1.0,0.0,0.0,0.0
0.540,-0.003916,-0.003916,9.806084,-0.003916,1.0,0.0,0.0,0.0
0.550,0.013485,0.013485,9.823485,0.013485,1.0,0.0,0.0,0.0
0.560,0.000623,0.000623,9.810623,0.000623,1.0,0.0,0.0,0.0
0.570,-0.006143,-0.006143,9.803857,-0.006143,1.0,0.0,0.0,0.0
0.580,0.016616,0.016616,9.826616,0.016616,1.0,0.0,0.0,0.0
0.590,0.006403,0.006403,9.816403,0.006403,1.0,0.0,0.0,0.0
0.600,0.002106,0.002106,9.812106,0.002106,1.0,0.0,0.0,0.0
0.610,0.016595,0.016595,9.826595,0.016595,1.0,0.0,0.0,0.0
0.620,0.020498,0.020498,9.830498,0.020498,1.0,0.0,0.0,0.0
0.630,0.032321,0.032321,9.842321,0.032321,1.0,0.0,0.0,0.0
0.640,-0.013827,-0.013827,9.796173,-0.013827,1.0,0.0,0.0,0.0
0.650,0.000317,0.000317,9.810317,0.000317,1.0,0.0,0.0,0.0
0.660,-0.004051,-0.004051,9.805949,-0.004051,1.0,0.0,0.0,0.0
0.670,0.011301,0.011301,9.821301,0.011301,1.0,0.0,0.0,0.0
0.680,0.005381,0.005381,9.815381,0.005381,1.0,0.0,0.0,0.0
0.690,-0.026246,-0.026246,9.783754,-0.026246,1.0,0.0,0.0,0.0
0.700,0.008703,0.008703,9.818703,0.008703,1.0,0.0,0.0,0.0
0.710,-0.033589,-0.033589,9.776411,-0.033589,1.0,0.0,0.0,0.0
0.720,-0.011694,-0.011694,9.798306,-0.011694,1.0,0.0,0.0,0.0
0.730,-0.009026,-0.009026,9.800974,-0.009026,1.0,0.0,0.0,0.0
0.740,-0.007048,-0.007048,9.802952,-0.007048,1.0,0.0,0.0,0.0
0.750,0.003809,0.003809,9.813809,0.003809,1.0,0.0,0.0,0.0
0.760,-0.011500,-0.011500,9.798500,-0.011500,1.0,0.0,0.0,0.0
0.770,0.012896,0.012896,9.822896,0.012896,1.0,0.0,0.0,0.0
0.780,0.013099,0.013099,9.823099,0.013099,1.0,0.0,0.0,0.0
0.790,-0.014712,-0.014712,9.795288,-0.014712,1.0,0.0,0.0,0.0
0.800,0.015196,0.015196,9.825196,0.015196,1.0,0.0,0.0,0.0
0.810,0.010728,0.010728,9.820728,0.010728,1.0,0.0,0.0,0.0
0.820,-0.014488,-0.014488,9.795512,-0.014488,1.0,0.0,0.0,0.0
0.830,0.022976,0.022976,9.832976,0.022976,1.0,0.0,0.0,0.0
0.840,0.010549,0.010549,9.820549,0.010549,1.0,0.0,0.0,0.0
0.850,-0.017199,-0.017199,9.792801,-0.017199,1.0,0.0,0.0,0.0
0.860,-0.008547,-0.008547,9.801453,-0.008547,1.0,0.0,0.0,0.0
0.870,-0.013114,-0.013114,9.796886,-0.013114,1.0,0.0,0.0,0.0
0.880,-0.004872,-0.004872,9.805128,-0.004872,1.0,0.0,0.0,0.0
0.890,0.026557,0.026557,9.836557,0.026557,1.0,0.0,0.0,0.0
0.900,0.002757,0.002757,9.812757,0.002757,1.0,0.0,0.0,0.0
0.910,-0.018938,-0.018938,9.791062,-0.018938,1.0,0.0,0.0,0.0
0.920,0.025086,0.025086,9.835086,0.025086,1.0,0.0,0.0,0.0
0.930,-0.011813,-0.011813,9.798187,-0.011813,1.0,0.0,0.0,0.0
0.940,-0.002229,-0.002229,9.807771,-0.002229,1.0,0.0,0.0,0.0
0.950,-0.006733,-0.006733,9.803267,-0.006733,1.0,0.0,0.0,0.0
0.960,0.006480,0.006480,9.816480,0.006480,1.0,0.0,0.0,0.0
0.970,-0.001635,-0.001635,9.808365,-0.001635,1.0,0.0,0.0,0.0
0.980,0.002313,0.002313,9.812313,0.002313,1.0,0.0,0.0,0.0
0.990,0.007328,0.007328,9.817328,0.007328,1.0,0.0,0.0,0.0
1.000,0.010178,0.010178,9.820178,0.010178,1.0,0.0,0.0,0.0
1.010,0.020907,0.020907,9.830907,0.020907,1.0,0.0,0.0,0.0
1.020,-0.007339,-0.007339,9.802661,-0.007339,1.0,0.0,0.0,0.0
